rightwing,gender,age,extraverted,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional
35,male,36,3,5,6,5,6,6,6,5,6,2
28,male,28,3,6,6,7,7,7,6,5,5,2
47,male,27,1,2,3,2,7,7,5,6,6,1
32,male,24,6,6,7,4,7,1,6,4,6,6
50,male,32,1,3,5,2,5,7,5,2,6,4
37,male,36,2,6,5,6,7,3,5,2,5,2
26,male,24,2,5,4,5,7,6,4,3,6,2
43,male,22,4,5,6,5,6,6,5,2,3,3
29,female,29,2,1,6,6,7,7,6,1,6,2
44,female,20,3,5,5,5,6,7,6,4,5,3
39,female,31,1,5,6,6,7,7,7,6,5,2
31,female,32,5,2,5,1,6,5,7,5,5,2
31,male,27,4,4,6,2,7,5,6,5,3,1
57,male,15,5,4,3,5,6,3,5,5,5,3
34,female,29,2,6,4,6,6,7,5,6,4,4
27,male,26,7,6,2,7,5,1,7,7,1,6
25,female,32,1,3,3,7,5,6,4,6,3,1
59,male,24,7,3,7,1,6,1,7,1,7,1
26,female,26,2,3,5,5,6,7,6,1,5,3
33,male,25,4,6,2,2,7,6,4,5,5,1
24,male,31,7,5,6,1,7,1,4,3,7,4
28,male,44,2,6,4,5,5,6,4,3,5,3
25,male,26,6,6,5,5,2,4,5,6,2,3
52,male,22,5,6,4,3,4,5,6,5,5,3
51,male,23,2,6,5,5,6,7,6,5,6,2
22,male,30,5,6,7,2,7,6,7,5,6,3
62,female,24,3,1,4,5,6,5,6,4,4,5
36,male,27,1,6,5,1,7,7,4,5,5,3
25,male,54,2,2,6,1,7,7,7,1,6,2
25,male,26,2,6,5,6,5,7,5,5,2,4
63,male,27,1,1,6,6,2,7,6,2,6,6
42,male,22,2,3,2,5,5,7,5,5,6,5
32,male,37,3,6,7,6,3,6,5,5,3,7
50,male,20,4,4,5,2,7,7,6,4,5,2
62,male,15,5,5,2,1,7,4,4,6,7,3
46,male,20,2,5,6,7,7,7,5,5,7,5
57,male,25,2,5,5,6,3,7,3,2,5,6
97,male,19,2,4,2,6,5,4,6,6,2,3
41,male,40,1,2,7,1,6,6,5,2,6,5
23,male,32,6,7,3,1,7,6,5,5,7,2
84,male,49,2,6,6,3,7,7,3,5,5,6
37,male,35,5,2,6,1,7,6,6,2,6,2
31,male,26,2,6,6,5,4,6,7,5,5,4
33,male,21,2,5,3,5,6,7,3,5,6,6
37,male,23,1,5,3,2,6,6,4,5,4,4
29,male,31,2,3,6,5,5,7,6,3,5,3
26,male,33,2,6,6,6,6,5,4,4,2,2
22,male,26,2,5,5,5,5,7,7,3,4,1
30,female,30,2,6,6,3,7,7,6,2,6,4
43,male,21,2,2,5,6,4,7,4,5,5,3
36,female,36,2,4,5,6,6,5,6,4,3,2
44,male,36,1,6,4,5,5,7,5,5,2,3
26,male,20,4,4,3,5,7,5,5,7,5,2
40,male,43,5,5,6,2,7,6,3,3,4,2
20,male,34,5,6,3,5,7,5,5,2,6,2
45,male,17,1,1,3,5,4,7,6,4,3,1
21,male,25,5,7,5,4,6,3,5,5,5,2
20,male,20,5,6,5,6,7,7,5,6,5,5
21,male,28,2,5,7,5,7,6,6,1,7,1
25,male,24,3,5,4,5,6,6,6,4,6,3
32,male,21,3,6,6,5,6,5,5,3,5,3
39,male,19,5,2,5,2,7,6,6,5,6,5
59,male,29,5,5,5,3,6,4,5,6,7,2
31,male,31,5,2,7,2,6,6,6,2,7,2
20,male,27,3,2,1,6,7,6,6,7,4,2
30,male,29,2,7,6,6,5,5,4,2,7,6
32,male,25,3,6,5,2,7,6,6,5,7,2
31,female,21,3,5,6,3,6,5,6,2,6,2
56,male,27,1,5,3,5,7,6,4,3,2,1
20,male,30,1,5,6,5,4,7,6,6,6,2
20,female,30,1,7,3,7,5,5,3,6,2,4
24,male,35,1,5,5,2,6,6,6,3,4,1
37,male,23,6,2,7,4,6,5,6,3,7,3
28,male,20,2,3,5,5,6,6,6,4,6,7
48,male,21,1,6,3,1,6,5,2,5,7,3
21,male,24,2,6,6,1,6,7,6,2,7,6
36,male,25,3,5,5,2,6,4,4,5,4,3
56,male,29,2,5,6,6,5,5,6,6,5,5
29,female,47,3,2,6,3,7,6,6,1,7,2
26,male,20,2,6,6,1,5,7,5,1,7,3
24,male,33,1,6,5,5,4,7,6,4,5,6
30,male,27,1,5,2,4,6,7,6,7,4,3
72,female,20,3,3,5,6,6,7,6,3,5,2
38,male,38,1,6,4,7,2,7,7,1,3,3
130,male,23,6,2,7,1,3,5,6,1,7,2
21,male,27,3,7,6,2,7,7,5,5,6,4
35,female,22,1,5,4,6,5,7,4,5,3,5
54,male,18,3,6,4,5,6,5,5,5,4,2
54,male,42,2,5,6,1,7,6,2,3,7,2
32,male,24,2,6,7,5,6,7,5,2,7,2
20,male,30,3,7,2,6,5,1,1,6,1,7
32,female,39,1,6,7,5,7,7,6,3,6,4
24,male,33,1,1,7,1,7,7,6,5,6,4
33,male,28,6,7,4,3,6,3,6,3,6,1
41,male,56,2,5,6,5,7,7,7,2,6,6
28,female,27,2,3,4,5,6,5,6,4,4,3
56,male,38,6,5,2,5,6,6,5,7,2,3
22,male,20,6,5,6,1,7,6,4,3,7,2
70,female,22,2,5,7,6,5,6,5,3,5,3
53,male,28,0,6,4,4,6,2,3,0,3,4
62,male,37,2,5,4,5,3,7,3,6,7,5
38,female,34,1,1,5,5,3,5,5,2,5,5
36,female,21,5,6,5,4,6,6,5,6,4,4
34,male,23,2,6,1,6,7,4,5,7,4,2
61,male,45,5,5,5,3,5,6,6,5,6,3
50,male,23,2,5,5,5,5,7,5,2,3,5
22,female,37,3,3,5,7,7,7,7,6,1,0
55,male,25,7,7,1,7,7,6,7,6,1,1
41,male,37,7,5,7,1,7,4,3,1,7,5
32,male,21,1,5,3,5,5,7,5,6,5,2
62,male,39,2,4,3,5,3,6,6,5,6,5
32,female,34,2,6,6,2,5,7,2,2,6,2
56,male,26,2,4,5,5,6,7,5,4,4,2
33,male,35,3,5,6,1,6,6,3,4,5,1
90,male,24,5,6,6,4,6,5,7,5,3,1
20,female,19,5,3,2,5,5,5,5,6,3,1
34,male,29,4,7,1,7,7,5,5,7,2,7
33,male,21,1,5,3,6,6,7,2,5,3,1
39,male,17,1,6,5,5,3,7,2,3,2,3
